"","S","Var(S)","Z of S","p-value","trend"
"1","77","333.666666666667","4.16061165103033","<0.01","More Increasing"
"2","71","333.666666666667","3.83214231015951","<0.01","More Increasing"
"3","-23","333.666666666667","-1.20438758319299","0.228439808988675","No Trend"
"4","-15","333.666666666667","-0.766428462031903","0.443421402864083","No Trend"
"5","5","333.666666666667","0.218979560580544","0.826665969670155","No Trend"
"6","51","333.666666666667","2.73724450725679","<0.01","More Increasing"
"7","17","333.666666666667","0.875918242322174","0.381074481609294","No Trend"
"8","31","333.666666666667","1.64234670435408","0.100518173207465","No Trend"
"9","13","333.666666666667","0.656938681741631","0.511220344688192","No Trend"
"10","73","333.666666666667","3.94163209044978","<0.01","More Increasing"
"11","33","333.666666666667","1.75183648464435","0.0798019286423908","No Trend"
"12","-87","333.666666666667","-4.70806055248169","<0.01","More Decreasing"
"13","10","333.666666666667","0.492704011306223","0.622221742915604","No Trend"
"14","-61","333.666666666667","-3.28469340870815","<0.01","More Decreasing"
"15","-65","333.666666666667","-3.5036729692887","<0.01","More Decreasing"
"16","-16","333.666666666667","-0.821173352177038","0.411547532947053","No Trend"
"17","-40","333.666666666667","-2.1350507156603","0.0327568677156945","Decreasing"
"18","19","333.666666666667","0.985408022612446","0.324423690521578","No Trend"
"19","-7","333.666666666667","-0.328469340870815","0.742556821926578","No Trend"
"20","-42","333.666666666667","-2.24454049595057","0.0247976464158849","Decreasing"
"21","-83","333.666666666667","-4.48908099190114","<0.01","More Decreasing"
"22","-77","333.666666666667","-4.16061165103033","<0.01","More Decreasing"
"23","-73","333.666666666667","-3.94163209044978","<0.01","More Decreasing"
"24","-33","333.666666666667","-1.75183648464435","0.0798019286423907","No Trend"
"25","-73","333.666666666667","-3.94163209044978","<0.01","More Decreasing"
"26","-47","333.666666666667","-2.51826494667625","0.011793457077065","Decreasing"
"27","-39","333.666666666667","-2.08030582551516","0.0374974908157198","Decreasing"
"28","-59","333.666666666667","-3.17520362841788","<0.01","More Decreasing"
"29","-24","333.666666666667","-1.25913247333813","0.207982486894133","No Trend"
"30","-67","333.666666666667","-3.61316274957897","<0.01","More Decreasing"
"31","-26","333.666666666667","-1.3686222536284","0.171117384119013","No Trend"
"32","-24","333.666666666667","-1.25913247333813","0.207982486894133","No Trend"
"33","-75","333.666666666667","-4.05112187074006","<0.01","More Decreasing"
"34","-53","333.666666666667","-2.84673428754707","<0.01","More Decreasing"
"35","-69","333.666666666667","-3.72265252986924","<0.01","More Decreasing"
"36","-87","333.666666666667","-4.70806055248169","<0.01","More Decreasing"
"37","-35","333.666666666667","-1.86132626493462","0.0626981162609826","No Trend"
"38","-34","333.666666666667","-1.80658137478948","0.0708275756987907","No Trend"
"39","-17","333.666666666667","-0.875918242322174","0.381074481609294","No Trend"
"40","-68","333.666666666667","-3.6679076397241","<0.01","More Decreasing"
"41","-31","333.666666666667","-1.64234670435408","0.100518173207465","No Trend"
