,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F
臺北市,20.2,0.6,2.2,0.3,4.5,0.7,9.2,0.4,0.6,567.3,477.2,6177.9,0.3,116.7,541,97.9,0.5,114.7,3.6,5.8,4.2,5,6655,1297.3,373.2,744.2,562,7.7,63,42.8
臺中市,37.6,0.9,4.8,0.4,12.7,0.8,11.7,0.6,1.1,979.7,843.4,6386.8,0.3,256.5,648.5,100.6,0.7,363.5,14.1,10.8,10,11.7,7230.2,2958.8,404.3,1100.1,450.6,7.7,137,57.7
臺南市,41.5,1.5,3.6,0.5,15.2,1.5,14.2,0.6,1.1,1167.4,594.5,5174.5,0.3,174.1,538,60.1,0.9,292.4,6.5,13,11.6,8.9,5769,1847.9,215.4,656,746.6,5.5,107.6,50
高雄市,39.8,1.2,4.3,0.3,12,1.8,14.6,0.6,1,1124.9,919.7,6377.6,0.3,189.4,589.8,70.2,0.8,410.7,5.6,18.6,11.2,16.5,7297.3,3250.3,400.7,1346.4,888.9,6.8,181.6,54.7
基隆市,42.2,2.4,4,0.7,8,2.3,17.3,0.7,1.2,1212.7,602.9,7356.9,0.5,181.5,714.1,99.4,0.7,190.8,6.2,14.3,9.4,10.4,7959.8,313.2,64.7,133.1,579.7,9,83.7,56.8
新竹市,31.6,1,3.6,0.1,9.5,1.5,11,0.6,1.1,850,425.2,5658.2,0.1,72,536.2,72.5,0.2,121.7,4.6,4.7,3.8,7.2,6083.4,163.9,51.4,96.3,414.6,7.2,81.8,41.4
嘉義市,31.4,0.8,4.9,0.7,9,1,12.3,0.4,0.2,794.4,801.9,6839,0.2,217.6,666.7,88.5,0.9,337.3,17.5,14.3,9.8,13.1,7640.8,312.6,44.9,114.2,518,5.6,137.4,59.8
新北市,29.4,1.1,2.9,0.4,7.2,1.1,12.6,0.6,0.6,863.7,556.7,5845.6,0.2,141.5,558.6,95.3,0.4,172.3,3.8,7.1,5.8,5.8,6402.3,2275.1,547,1139,568.2,7.5,74.6,50.4
桃園縣,39.2,1.3,4.3,0.5,10.9,1.2,14.4,0.6,1.4,1170.9,544.8,4591.7,0.4,151.3,527.3,79.2,0.7,236.3,5.5,10.5,6.7,7.2,5136.4,1627.8,226,577.6,469.6,6,79.9,46.3
新竹縣,45.9,1.8,5.2,0.5,15.6,1.3,12.2,1.5,2.1,1333.4,609,6206.5,0.2,132.6,580.6,85.6,0.4,240.7,5.5,7.9,8.3,9,6815.5,406.8,80.8,176.6,586.6,6.3,99.7,48.6
宜蘭縣,47.5,2.6,4.1,0.6,17.1,1.3,16.5,1.1,1,1320.5,1356.3,8928.4,0.6,333.1,711,84.4,0.7,497.3,13,26.6,28,25.7,10284.7,751.7,105.1,275.2,591.4,8,243.1,62.5
苗栗縣,51,3.1,5,0.6,20.1,0.9,14.5,1.1,2,1485,1140,7120.9,0.3,216.6,818.1,108,0.7,417,10.3,12.9,10.1,22.5,8260.9,650.7,102.2,307,613,8.1,238.9,62.9
彰化縣,46.5,1.3,3.9,0.5,16.6,1.3,13.4,0.4,1.7,1286.7,760.6,6925.6,0.2,215.2,603.9,94.5,0.6,353.6,13.2,11.5,12.4,10,7686.2,1547.2,240.7,547,569.5,7.4,148.6,53.8
南投縣,58.2,1.9,5.9,1.1,17.5,2.7,18.2,0.8,2,1674.9,903.7,7662.1,0.6,282.2,757.8,120.2,1,346.1,12.9,12.3,12.3,16.3,8565.8,686,104,268.6,534.6,9.3,178.3,62
雲林縣,50.4,1.5,3.6,0.2,24.1,1.2,15.2,1,1.7,1450,881.6,6824.4,0.5,241.6,653.8,83.9,0.7,405.7,16.5,16.3,15,12.5,7706.1,1006.8,137.2,375.4,563.4,6.5,176.8,58.3
嘉義縣,48.8,2.1,4,0.5,19,1,15,0.8,0.6,1314.5,897.8,6775.4,0.7,239.1,675.7,70.7,1.2,379.8,21,19,16.2,13.7,7673.2,848.9,103.3,301.6,708.3,7,165.7,55.5
屏東縣,52.9,2.1,4.8,0.4,23,1.2,14.9,0.7,0.8,1491,1470.4,7579.1,0.3,208.8,768.1,72,0.4,497.4,6.1,16.3,9.8,21.9,9049.5,1103.7,150.8,579.7,836.1,5.3,354.9,66.5
澎湖縣,32.8,3.9,3.1,0.5,7.8,1.2,12.7,1,0.2,1062.6,702.3,9364.7,0.4,215.5,814.7,154.5,1,269.2,12.3,8,9.4,10.3,10067,104.3,21,38.1,1114.3,7.9,105.6,60.8
花蓮縣,52.5,4.4,7.8,0.2,17.8,0.8,15.6,1.2,2.1,1533.7,960.1,8463,1.5,252.5,720.1,128,1.1,320.4,7.1,17.6,16.2,26.2,9423,498.3,75.9,186.4,703.4,10.8,142.5,65.2
臺東縣,67.7,6.8,7.9,0.3,25.7,1.3,14.5,1.3,1.9,1732.3,965.9,8415,0.8,136.3,884.2,71.8,0,322.5,3.2,9.5,5.9,12.8,9380.9,214.6,45.8,127.7,635.4,7.4,171.5,67.9
金門縣,32.6,3,2.3,0,8.5,0.8,10.7,0.8,0.4,984.1,669.4,8382.1,1.1,216.3,619.8,143.6,0.5,249.6,2.8,14,1.3,5.8,9051.4,92.5,20.5,41.3,896.2,8.8,93.2,45.4
連江縣,42.4,8.4,2.5,0,0,3.4,6,3.2,2.8,865.6,577.7,8516.5,0,86.4,639.9,0,0,128.4,5.3,11.5,0,5.6,9094.2,5,2.1,3.5,549,13.9,95.9,36.9
